,full file paths,md5,sha256,sha1,path parts
20,/home/writer/Downloads/Criminal Procedure Syllabus Spring 2021.pdf,f91b3b9f47ac8d5de277c4e7a83cf23b,f51bec3dc58cc95f0069ae3d828d2f51e78986aba365485592fe3eb6479e92f9,3cea7913fd36bf31f2080436aa4741bb152c22bb,"['', 'home', 'writer', 'Downloads', 'Criminal Procedure Syllabus Spring 2021.pdf']"
21,/home/writer/Downloads/Corrections Syllabus 2021.pdf,53a7d120525e78f703b6d51662bcd4e2,c3bb3603ce016f8a2a546706a8969b8a0cc65ab458dfb41fbf51932d28581782,dd380bec06a280e7a60e3b65709c5f78d231cd66,"['', 'home', 'writer', 'Downloads', 'Corrections Syllabus 2021.pdf']"
22,/home/writer/Downloads/Criminology Syllabus 2021.docx,b3e61f31a133b217f7332bebbc2212cb,cc7aa0faaf57fb04c8a73c111bb271e9dae85a036fbe7a268a59863c7b58fe45,c490d62a7f2e9183e6a81733fd369b68265a4bef,"['', 'home', 'writer', 'Downloads', 'Criminology Syllabus 2021.docx']"
23,/home/writer/Downloads/Resume Revisions.docx,4c090a151aeb1e6e31d7adefc6a7a171,f1849c189ca57869874f0a0f77eb78dceb4394f5ffa3f03b10d328b176f4b7f0,2cbecf8b1fece8092caa93376cdaa20be4b28ce1,"['', 'home', 'writer', 'Downloads', 'Resume Revisions.docx']"
24,/home/writer/Downloads/Anaconda3-2020.11-Linux-x86_64.sh,84a3f9d89073ef0f50132edc16094d50,afa982b184d2e5f7c4e0f46b5859603d0469ae56e491de6e786cd44462b986e9,53189ff1eaac398b435f2817070e34064e2c0290,"['', 'home', 'writer', 'Downloads', 'Anaconda3-2020.11-Linux-x86_64.sh']"
25,/home/writer/Downloads/user_4pVbcGf1dplqvRO3OVEk7tVHZ3x1q61td24ddmzw.ics,d0d1586b2b1bf0f8423c0380c0c6b846,5da0b2506986cc3f31507fbec50a372af21ed27a19da25298ad206be48125223,c3717366ea7f6bd522bb135bb87c328f5999a7e9,"['', 'home', 'writer', 'Downloads', 'user_4pVbcGf1dplqvRO3OVEk7tVHZ3x1q61td24ddmzw.ics']"
26,/home/writer/Downloads/aid013.pdf,54da8f424b97325591c2839baf48ff43,ec896d54fa9e23477f54aa4c57442fe4eb1bd7727df36dc5630f52eae1dd19d8,0e079daba60919e87426588cb508925e29d4c493,"['', 'home', 'writer', 'Downloads', 'aid013.pdf']"
27,/home/writer/Downloads/aid014.pdf,af02cbfdbd005d87896eabc6aa3b1d68,dbfe79b3713ee8ee496cb4d0f90132dcd1593f4c9976d21f839f3ff832508ff8,6e41a53edee929f611b61855b413aadfabdc1a7c,"['', 'home', 'writer', 'Downloads', 'aid014.pdf']"
28,/home/writer/Downloads/Quiz 1 2021.docx,2c40a105fff54ca1b9f4d65d9ae51975,82e609223176990a6007e90c99da951ac1643c64b678435eee9958101d248aac,7df01f323e8325cf407907cb049b74e223aa8019,"['', 'home', 'writer', 'Downloads', 'Quiz 1 2021.docx']"
29,/home/writer/Downloads/Criminology Quiz1.docx,4da30ffd456824933c1d6e0961680a48,2abfef5a59398820b753610fcc69803e7beae49efcfc55c841025b6fef0f6d2f,103c1d52d742afb3eb843de741b2db7744515685,"['', 'home', 'writer', 'Downloads', 'Criminology Quiz1.docx']"
