,full file paths,md5,sha256,sha1,path parts
18,/home/writer/Documents/school/Technical Writing/phones.png,0347ff5ad8940203e2d5d7d0352b9149,7cb0e137beb3e1934e79067819f017bc42c954b728b769b0d0e3b19c290aa53b,a8a9305d41a069f0313ae0533e4c542823bde1a0,"['', 'home', 'writer', 'Documents', 'school', 'Technical Writing', 'phones.png']"
19,/home/writer/Documents/school/Technical Writing/template.odp,7f1a15e3db1eaedb1f73ffcc778068b0,d6a4b13d96f978d27ff3895b6badbd65c19951ae4f724e4c4a49db8b5ae5fa42,fc5edaf07199bba3758160ab372186793de48ef8,"['', 'home', 'writer', 'Documents', 'school', 'Technical Writing', 'template.odp']"
20,/home/writer/Documents/school/code/Better File System Search Program.ipynb,28dff2696fd5e93446ce7b366d4511cc,d32c8205761475870350f1184d991238d6d0b67c0ce0c85f1e0167750b96f517,75a86c040925140c167a635bf18e96530db12771,"['', 'home', 'writer', 'Documents', 'school', 'code', 'Better File System Search Program.ipynb']"
21,/home/writer/Documents/school/code/glob code read files.ipynb,18934f248a51e7a7e01a2687aab6ca16,10f3bdacda215ecc939637ab79a279a7393c4dedaad67c599cd4fbf0c9cf7333,e4d4b89e5d9d3f0367bcdb22c7286635db2b0066,"['', 'home', 'writer', 'Documents', 'school', 'code', 'glob code read files.ipynb']"
22,/home/writer/Documents/school/crime classes/McDonnell.odt,4620425b6dceb871b9decc5aea2aa182,a99b43bf36bcc4604a49aeea302d4051023ff82079c55db4f3a34412f3f816c7,f4e9d956ad3c02be09e45a4ebc9b880154d5e5a6,"['', 'home', 'writer', 'Documents', 'school', 'crime classes', 'McDonnell.odt']"
23,/home/writer/Documents/school/crime classes/Written Assignment due 2.17.21-1.docx,03420d4504a8e4edfb270d7d8a034792,8b27193c37ea4e5812b7b50659301fa639906067a645273aa6444fc0de1e01f6,b566edfc5ef8c93eba148b52e493047b8040c4e4,"['', 'home', 'writer', 'Documents', 'school', 'crime classes', 'Written Assignment due 2.17.21-1.docx']"
24,/home/writer/Documents/school/crime classes/Criminology Quiz 2-1.docx,0edb8a1c071bdc6a54a09db357ccc0cb,a98ac99652d5f093244a8b539ac6ae15b9f2a200c5c522398ec40ba0fc511a04,566f0c7a1316064d181966843e2b06720f74872d,"['', 'home', 'writer', 'Documents', 'school', 'crime classes', 'Criminology Quiz 2-1.docx']"
25,/home/writer/Documents/school/crime classes/Written Assignment due 2.17.21-1.pdf,1a0d790bdf36cc75c2dcccae10da2605,e2cd768035c0b0547307b90caf748704c1f98a928e570563165a1527fe2b879c,50e801a227d26d4a7be3815a15f059d2f7ea4b8b,"['', 'home', 'writer', 'Documents', 'school', 'crime classes', 'Written Assignment due 2.17.21-1.pdf']"
26,/home/writer/Documents/school/crime classes/Criminology Quiz 2-2.docx,94ac772b4d7976cc95a7867494990218,a4ec129faec8584aff3e2658ef3d34eda0dbd938f7cc95fe3f39d3852b938d95,d533025a2112ae27958dce3235ea924b5b90a410,"['', 'home', 'writer', 'Documents', 'school', 'crime classes', 'Criminology Quiz 2-2.docx']"
27,/home/writer/Documents/school/crime classes/Written Assignment due 2.17.21 - answers.pdf,8faf0b4dd2bac65b083c360388318b4f,fcb95db3902c1baf94bfd94d6f291c5f490fe85c25f536683241cb1b3ed82b9f,d4b7f7ffe6d10f52ecdc72d3a01f4cf0f8a8176a,"['', 'home', 'writer', 'Documents', 'school', 'crime classes', 'Written Assignment due 2.17.21 - answers.pdf']"
28,/home/writer/Documents/creative writing/timeline.txt,2be46d4c52186ec1ea99a90a032888fa,0dc7888f7c9445f0a2059651402d2b3612c40f7c678e40a82af2237205ff5bfb,83a995e4a5a6161f70792201737e70be3d14b628,"['', 'home', 'writer', 'Documents', 'creative writing', 'timeline.txt']"
29,/home/writer/Documents/creative writing/the Better MCU.odt,bb93660116d73768fe8983787dfc97e3,abf5df7c4cc56dcb76591cbfefad376c67afc5a7d60529b5307eb98a9d2cc94b,0286907dc92f9a320277c6363c58ea039dc55a0a,"['', 'home', 'writer', 'Documents', 'creative writing', 'the Better MCU.odt']"
30,/home/writer/Documents/creative writing/Winter Freedom.odt,111f556ec7bac4eaef571d83bf126275,c293ab0a27991c5ba6f51c7501cf06224e971121be304f75635511a5b4b6bc55,a2dc15e74a7f299b3fd7908f5407e90fc1f76721,"['', 'home', 'writer', 'Documents', 'creative writing', 'Winter Freedom.odt']"
31,/home/writer/Documents/creative writing/Iron Freedom.odt,e1dbf732818fd53a757173b1f24daa89,df342568edb9076fa8876dee2f64674c95136709edf953dfd96e537a9f1012b2,295a91d4b6352adbc3a7f7d702b913863c24e35b,"['', 'home', 'writer', 'Documents', 'creative writing', 'Iron Freedom.odt']"
32,/home/writer/Documents/creative writing/X-Men timeline.odt,b78acd6ac0b4df7aa3d7999c81a1994e,cd6af0407e01c3e6c96b922843ca2b3065eb682da6fa440a4a6305a3f6e97440,0a29a46412b6bacdacdebbd0fb21e489fe43df8d,"['', 'home', 'writer', 'Documents', 'creative writing', 'X-Men timeline.odt']"
33,/home/writer/Documents/creative writing/Mildly corrected X-Men timeline.odt,70b99f3891558b1742ec167e3ba5f93c,8cc12599d42a030f925931118bb91cbeaf9f8fed9405e041daa158677c1edd88,ef69c5c210f5da37333163707ca80c0a1f4e35af,"['', 'home', 'writer', 'Documents', 'creative writing', 'Mildly corrected X-Men timeline.odt']"
34,/home/writer/Documents/creative writing/Asguardians.odt,073d3de43e37dc7dc80ccbacb96f5e3a,c6b1292612dfc8f08ac2fc57c3b1b3752be899851d12b658a50d359d0f6eacd4,3b62989cda2079d78101507a27f5bba42947dedb,"['', 'home', 'writer', 'Documents', 'creative writing', 'Asguardians.odt']"
35,/home/writer/Documents/creative writing/X-Men.odt,fa5a10a5508f251a7b3f412c1f3b3aed,d51046f8b4276fa56dd3b503061cbfe701a6fbf8cf167af3dfef8a64a0504f0d,38cc00d822b891eb2ac4054880290809013d1edf,"['', 'home', 'writer', 'Documents', 'creative writing', 'X-Men.odt']"
36,/home/writer/Pictures/email signature.png,0620f4fe100325afa3c4d80e2d1641bb,549cd47ff1f90f83124a1bee0f83934132052c47eb4de7d20e0061a5fa561587,17268cbb780ce96df1dda6bd220f7a19ab9d004b,"['', 'home', 'writer', 'Pictures', 'email signature.png']"
37,/home/writer/Pictures/Screenshot from 2021-02-14 21-29-20.png,ab1250dfd36e19d7284e48a676bfbc42,c1b84e586f83568752291ac1a8e8858dfc044cbfea2e76af8481d118780b1de8,8669cfa942c8fa347e6a0440c6f8a44ca13108b9,"['', 'home', 'writer', 'Pictures', 'Screenshot from 2021-02-14 21-29-20.png']"
38,/home/writer/Pictures/Screenshot from 2021-02-19 00-10-05.png,88b63ef46356a4649ff3d697c3be8f69,5fd9708219dcbf8051c85bbf1d2316ed47dabb75f81ed3923cbd695a4230dbc3,f0dda63f22793fce5d0b2eb2bacba69622b51c13,"['', 'home', 'writer', 'Pictures', 'Screenshot from 2021-02-19 00-10-05.png']"
39,/home/writer/Pictures/Wallpapers/Firefox_wallpaper.png,0fe147d7395365d4746ef0abb268aeeb,96ae5c1de4383ebb1f41b4d38c4c6d47fe22688b2f95f6f96bdc52e2624b1f8f,dd1056657881c474e44f7ec423133b8c0062bf5c,"['', 'home', 'writer', 'Pictures', 'Wallpapers', 'Firefox_wallpaper.png']"
40,/home/writer/Pictures/Wallpapers/copy.png,0fe147d7395365d4746ef0abb268aeeb,96ae5c1de4383ebb1f41b4d38c4c6d47fe22688b2f95f6f96bdc52e2624b1f8f,dd1056657881c474e44f7ec423133b8c0062bf5c,"['', 'home', 'writer', 'Pictures', 'Wallpapers', 'copy.png']"
